Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"NITWS—An efficient and system atically developed window system","Journal of Computer Science and Technology","","4","4","10.1007/BF02943115","Nengbin WangDahai Huang","1989","http://link.springer.com/article/10.1007/BF02943115","Article"
"Enhance the automatic acquisition of knowledge","Journal of Computer Science and Technology","","4","4","10.1007/BF02943111","Ruqian Lu","1989","http://link.springer.com/article/10.1007/BF02943111","Article"
"Technical summaries of GEMS","Journal of Computer Science and Technology","","4","4","10.1007/BF02943119","Jiaguang SunKaining GuYulin GuoZesheng Tang","1989","http://link.springer.com/article/10.1007/BF02943119","Article"
"Reduction of unnecessary dotted rules in the earley-algorithm","Journal of Computer Science and Technology","","4","4","10.1007/BF02943116","Harald E. Otto","1989","http://link.springer.com/article/10.1007/BF02943116","Article"
"Achieving tolerance proportionality in software for stiff initial-value problems","Computing","","42","4","10.1007/BF02243229","W. H. EnrightW. L. Seward","1989","http://link.springer.com/article/10.1007/BF02243229","Article"
"Automatic determination of dynamical symmetries of ordinary differential equations","Computing","","41","4","10.1007/BF02241219","H. J. PohleT. Wolf","1989","http://link.springer.com/article/10.1007/BF02241219","Article"
"TAUS: A file-based software understanding tool","Journal of Computer Science and Technology","","5","1","10.1007/BF02946564","Xianglín FeiChengzao WangHezhen WangChangmiao Zhao","1990","http://link.springer.com/article/10.1007/BF02946564","Article"
"A message-based distributed kernel for a full heterogeneous environment","Journal of Computer Science and Technology","","5","1","10.1007/BF02946563","Xing XueZhongxiu SunJianqiang ZhouXihao Xu","1990","http://link.springer.com/article/10.1007/BF02946563","Article"
"Two congruent semantics for Prolog with CUT","Journal of Computer Science and Technology","","5","1","10.1007/BF02946567","Mingyuan Zhu","1990","http://link.springer.com/article/10.1007/BF02946567","Article"
"A distributed error recovery technique and its implementation and application on UNIX","Journal of Computer Science and Technology","","5","2","10.1007/BF02943419","Di ZhouXiangwen Xu","1990","http://link.springer.com/article/10.1007/BF02943419","Article"
"A hierarchical reconfiguration strategy for bus-based multiprocessors","Journal of Computer Science and Technology","","5","2","10.1007/BF02943423","Ashish PancholyFidel MuradaliVinod K. Agarwal","1990","http://link.springer.com/article/10.1007/BF02943423","Article"
"Computational aspects of a branch and bound algorithm for quadratic zero-one programming","Computing","","45","2","10.1007/BF02247879","P. M. PardalosG. P. Rodgers","1990","http://link.springer.com/article/10.1007/BF02247879","Article"
"A programmed algorithm for existence proofs for two-point boundary value problems","Computing","","44","2","10.1007/BF02241862","M. GöhlenM. PlumJ. Schröder","1990","http://link.springer.com/article/10.1007/BF02241862","Article"
"Macro-dataflow computational model and its simulation","Journal of Computer Science and Technology","","5","3","10.1007/BF02945317","Yudong SunZhiliang Xie","1990","http://link.springer.com/article/10.1007/BF02945317","Article"
"A parallel preconditioned conjugate gradient method using domain decomposition and inexact solvers on each subdomain","Computing","","45","3","10.1007/BF02250634","Dr. sc. nat. A. Meyer","1990","http://link.springer.com/article/10.1007/BF02250634","Article"
"Finite element approximation of electrostatic potential in one dimensional multilayer structures with quantized electronic charge","Computing","","45","3","10.1007/BF02250636","Ph. CaussignacB. ZimmermannR. Ferro","1990","http://link.springer.com/article/10.1007/BF02250636","Article"
"Singly-implicit Runge-Kutta methods for retarded and ordinary differential equations","Computing","","43","3","10.1007/BF02242918","H. Claus","1990","http://link.springer.com/article/10.1007/BF02242918","Article"
"TrapML — A metalanguage for transformational programming","Journal of Computer Science and Technology","","5","4","10.1007/BF02945291","Lingzi Jin","1990","http://link.springer.com/article/10.1007/BF02945291","Article"
"Communication analysis and granularity assessment for a transputer-based system","Journal of Computer Science and Technology","","5","4","10.1007/BF02945287","Qingping GuoY. Paker","1990","http://link.springer.com/article/10.1007/BF02945287","Article"
"Automatic mesh generation for finite element analysis","Computing","","44","4","10.1007/BF02241271","T. D. BuiV. N. Hanh","1990","http://link.springer.com/article/10.1007/BF02241271","Article"
